Día;MesStr;Año;Órdenes;Comensales;Valor medio (Suma);Valor medio (Total);Valor medio;Suma;Descuento;Subtotal;Impuesto;Total
27;Mayo;2021;8,00;8,00;5,68;5,68;00:02:46;45,45;;41,33;4,12;45,45
26;Mayo;2021;36,00;36,00;9,96;9,96;00:06:37;358,70;;326,10;32,60;358,70
25;Mayo;2021;17,00;17,00;10,00;9,67;00:04:24;169,95;5,53;149,47;14,94;164,41
24;Mayo;2021;53,00;53,00;9,81;9,60;00:02:24;519,80;11,13;462,46;46,21;508,67
23;Mayo;2021;27,00;27,00;11,72;11,65;00:06:19;316,50;1,88;286,04;28,58;314,62
22;Mayo;2021;26,00;28,00;10,87;10,57;00:01:32;304,25;8,35;268,98;26,92;295,90
21;Mayo;2021;47,00;47,00;10,86;10,70;00:03:07;510,35;7,33;457,26;45,76;503,02
20;Mayo;2021;38,00;38,00;13,24;12,50;00:11:00;503,15;28,32;431,64;43,18;474,82
19;Mayo;2021;29,00;29,00;12,96;10,59;00:13:31;375,70;68,47;279,26;27,95;307,21
18;Mayo;2021;37,00;38,00;11,62;11,49;00:06:16;441,50;4,75;397,07;39,68;436,75
17;Mayo;2021;26,00;27,00;7,59;6,85;00:12:10;204,85;19,90;168,11;16,82;184,93
16;Mayo;2021;33,00;33,00;14,12;13,79;00:06:46;466,10;11,10;413,58;41,41;454,99
15;Mayo;2021;39,00;39,00;13,05;12,08;00:06:37;508,85;37,72;428,26;42,85;471,11
14;Mayo;2021;40,00;40,00;12,92;12,62;00:10:16;516,75;12,00;458,87;45,87;504,74
13;Mayo;2021;42,00;42,00;14,90;13,77;00:11:37;625,90;47,48;525,83;52,59;578,42
12;Mayo;2021;35,00;35,00;12,10;11,63;00:03:58;423,60;16,65;369,91;37,03;406,94
11;Mayo;2021;35,00;37,00;10,94;10,76;00:07:41;404,85;6,85;361,87;36,13;398,00
10;Mayo;2021;28,00;30,00;8,28;7,67;00:21:17;248,45;18,43;209,13;20,89;230,02
9;Mayo;2021;40,00;40,00;10,92;9,32;00:08:35;436,85;63,95;339,01;33,87;372,88
8;Mayo;2021;56,00;60,00;10,99;10,28;00:03:49;659,50;42,95;560,49;56,04;616,53
